id,title,asset_class,category,tier,severity,stage,check,why,how_to_check,how_to_fix,common_mistakes,golden_asset,source_section,requires
# ==== HƯỚNG DẪN — xoá hết các dòng bắt đầu bằng # sau khi đã hiểu ====,,,,,,,,,,,,,,
# id: mã trích dẫn duy nhất. Gợi ý: <LOẠI>-<NHÓM>-<số>  vd VEH-TRI-001,,,,,,,,,,,,,,
# tier: A = có số hoặc mẫu chữ · B = cần viết hàm riêng · C = mắt người kiểm,,,,,,,,,,,,,,
# severity: fail = chặn gate · warn = cho qua nhưng ghi lại · info,,,,,,,,,,,,,,
# stage: G0 blockout · G1 model freeze · G2 tech check · G3 in-game QC,,,,,,,,,,,,,,
"# cột check — cú pháp rút gọn, học trong 2 phút:",,,,,,,,,,,,,,
#    triangle_count <= 96000 where lod=0             so sánh số,,,,,,,,,,,,,,
#    texel_density_px_cm within 10.24 +- 0.5         quanh một giá trị,,,,,,,,,,,,,,
#    name matches ^SM_[A-Z]\w+_LOD[0-3]$              mẫu chữ,,,,,,,,,,,,,,
#    color_space in sRGB | Linear                    thuộc tập cho phép,,,,,,,,,,,,,,
"#    ngons <= 0 ids ngon_faces                       lỗi mesh, kèm id để tìm",,,,,,,,,,,,,,
#    inverted_normals is false                       cờ đúng/sai,,,,,,,,,,,,,,
#    manual: <câu hỏi cho hoạ sĩ>                    Tier C,,,,,,,,,,,,,,
"#    custom: vehicle.<tên hàm>                       Tier B, cần lập trình",,,,,,,,,,,,,,
"# why và how_to_fix BẮT BUỘC — thiếu thì dòng đó bị loại, có báo lỗi kèm số dòng",,,,,,,,,,,,,,
# nhiều bước trong how_to_fix / common_mistakes: ngăn bằng dấu  |  hoặc xuống dòng trong ô,,,,,,,,,,,,,,
# LƯU BẰNG EXCEL: File > Save As > CSV UTF-8. Đừng sửa file này bằng Notepad.,,,,,,,,,,,,,,
# ==== VÍ DỤ — thay bằng luật thật của dự án bạn ====,,,,,,,,,,,,,,
VEH-TRI-010,Giới hạn tricount thân xe LOD0,vehicle_exterior,geometry,A,fail,G1,triangle_count <= 96000 where lod=0,Ngân sách GPU tính cho 12 xe hiển thị đồng thời trong cảnh đua.,Maya > HUD > Poly Count — đọc dòng Tris của selection,Chuyển chi tiết nhỏ sang normal map | Giảm cạnh ở đường bo không nằm trên silhouette | Không đủ thì xin waiver qua Lead,Đếm cả bánh xe — bánh có ngân sách riêng | Đọc nhầm Faces thay vì Tris,SUV_Base,3.2 Vehicle Budget,
VEH-NAM-010,Quy ước đặt tên mesh xe,vehicle_exterior,naming,A,fail,G1,name matches ^SM_[A-Z][A-Za-z0-9]*_[A-Z][A-Za-z0-9]*_LOD[0-3]$,Script import tự động tách asset theo tên; sai tên thì rơi sai thư mục và không tự gán material.,Outliner — đọc tên từng mesh trong nhóm export,Đổi tên theo mẫu SM_<Xe>_<BộPhận>_LOD<n> | Dùng Rename tool cho cả nhóm,Quên hậu tố _LOD0 | Còn sót tên mặc định pCube,,2.1 Naming,
VEH-UV-010,Texel density đồng nhất,vehicle_exterior,uv,A,fail,G2,texel_density_px_cm within 10.24 +- 0.5 where lod=0,Xe đứng cạnh nhau trong garage; texel lệch làm một xe nét một xe mờ — người chơi thấy ngay.,Dán checker map của dự án — ô vuông phải bằng nhau ở mọi bộ phận,UV Editor > Set Texel Density rồi layout lại | Không đủ chỗ trong 0-1 thì tăng resolution,Set theo texture 2K rồi đổi sang 4K mà quên set lại,SUV_Base,4.1 UV,
VEH-VIS-010,Decal tài trợ không bị che,vehicle_exterior,visual,C,warn,G3,manual: Nhìn xe từ 3 góc camera gameplay — decal tài trợ có bị gương hay cánh gió che phần nào không?,"Vị trí decal nằm trong hợp đồng tài trợ — che decal là vấn đề hợp đồng, không phải thẩm mỹ.",,Dời decal sang vùng trống gần nhất trong panel được chỉ định | Không có chỗ thì báo Lead hỏi khách,,,,
VEH-RIG-010,Bố trí bone bánh xe,vehicle_exterior,rig,B,fail,G3,custom: vehicle.wheel_bone_layout,Vehicle blueprint của UE5 tìm bánh theo đúng 4 tên; sai tên thì phải rig lại từ đầu.,Outliner — đối chiếu 4 tên và vị trí bánh,Đổi tên bone về WHL_FL / WHL_FR / WHL_RL / WHL_RR | Snap pivot về tâm trục,Copy rig từ xe khác quên đổi tên sau khi mirror,SUV_Base,5.3 Vehicle Rig,skeleton.bones
